episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_min/policy_1,policy_reward_min/policy_2,policy_reward_min/policy_3,policy_reward_max/policy_0,policy_reward_max/policy_1,policy_reward_max/policy_2,policy_reward_max/policy_3,policy_reward_mean/policy_0,policy_reward_mean/policy_1,policy_reward_mean/policy_2,policy_reward_mean/policy_3,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_1/cur_kl_coeff,info/learner/policy_1/cur_lr,info/learner/policy_1/total_loss,info/learner/policy_1/policy_loss,info/learner/policy_1/vf_loss,info/learner/policy_1/vf_explained_var,info/learner/policy_1/kl,info/learner/policy_1/entropy,info/learner/policy_1/entropy_coeff,info/learner/policy_2/cur_kl_coeff,info/learner/policy_2/cur_lr,info/learner/policy_2/total_loss,info/learner/policy_2/policy_loss,info/learner/policy_2/vf_loss,info/learner/policy_2/vf_explained_var,info/learner/policy_2/kl,info/learner/policy_2/entropy,info/learner/policy_2/entropy_coeff,info/learner/policy_3/cur_kl_coeff,info/learner/policy_3/cur_lr,info/learner/policy_3/total_loss,info/learner/policy_3/policy_loss,info/learner/policy_3/vf_loss,info/learner/policy_3/vf_explained_var,info/learner/policy_3/kl,info/learner/policy_3/entropy,info/learner/policy_3/entropy_coeff
-4.75,-48.00000000000014,-30.396527777777766,60.0,72,4320,False,4320,72,1,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-40-11,1581514811,38.33757209777832,38.33757209777832,61368,nvidia-gtc,10.142.0.61,38.33757209777832,4320,1,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-3.0000000000000004,-2.4,-2.4,-9.749999999999991,-10.781944444444438,-8.619444444444442,-9.791999999999994,6.018962688333793,6.783172295169296,2.9808159778446432,1408,4320,11708.235,1666.249,8614.842,14916.48,0.20000000298023224,9.999999747378752e-05,-0.004149147,-0.0050755665,8.459971,0.0895037,0.004589776,0.9097357,0.0,0.20000000298023224,9.999999747378752e-05,-0.008016544,-0.009157061,8.887977,0.07518459,0.0056581493,1.4889901,0.0,0.20000000298023224,9.999999747378752e-05,-0.0049808538,-0.0063438118,7.809669,0.25719067,0.0067757447,1.4415576,0.0,0.20000000298023224,9.999999747378752e-05,-0.0014321486,-0.0051725972,7.7100163,0.23267512,0.018663727,1.0089236,0.0
-3.5,-48.00000000000014,-30.61099999999999,60.0,72,4320,False,8640,144,2,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-40-26,1581514826,15.642963409423828,53.98053550720215,61368,nvidia-gtc,10.142.0.61,53.98053550720215,8640,2,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-2.1999999999999997,-2.6,-3.0000000000000004,-7.199999999999993,-11.710499999999994,-10.820121951219507,-10.87692307692307,5.881145953724424,6.504259797306981,2.6975829716097053,2432,8640,10952.048,857.904,6987.813,7467.132,0.10000000149011612,9.999999747378752e-05,-0.0072731203,-0.007828092,9.442144,0.059180707,0.0054553016,0.9520997,0.0,0.20000000298023224,9.999999747378752e-05,-0.0024750573,-0.003638905,9.426078,0.12866145,0.00577211,1.4957117,0.0,0.20000000298023224,9.999999747378752e-05,-0.0030293632,-0.0043030814,8.655908,0.23758319,0.0063253045,1.4388342,0.0,0.20000000298023224,9.999999747378752e-05,-0.002156349,-0.0030521918,10.356176,0.14196238,0.0044273976,0.97086585,0.0
-3.25,-48.00000000000014,-28.296499999999988,59.65,72,4285,False,12925,216,3,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-40-42,1581514842,15.115477800369263,69.09601330757141,61368,nvidia-gtc,10.142.0.61,69.09601330757141,12925,3,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-2.1999999999999997,-2.4,-2.4,-7.1799999999999935,-9.566499999999996,-9.601666666666663,-9.694999999999997,5.69697436711684,6.200707276456264,2.471968380192949,3712,12925,10444.765,590.164,6524.138,4983.706,0.10000000149011612,9.999999747378752e-05,-0.0047333785,-0.005356233,9.209455,0.0807692,0.0061364383,0.9455779,0.0,0.20000000298023224,9.999999747378752e-05,-0.0041449466,-0.0069132647,8.395403,0.27490038,0.013799623,1.5175773,0.0,0.20000000298023224,9.999999747378752e-05,0.000107577194,-0.00049069175,7.8244915,0.3380847,0.0029522453,1.3687689,0.0,0.10000000149011612,9.999999747378752e-05,-0.005990791,-0.0073387683,7.8837004,0.3600062,0.013400924,0.97536004,0.0
-3.5,-48.00000000000014,-25.72899999999999,59.7,72,4308,False,17233,288,4,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-40-56,1581514856,13.938070297241211,83.03408360481262,61368,nvidia-gtc,10.142.0.61,83.03408360481262,17233,4,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-2.1999999999999997,-2.1999999999999997,-2.4,-7.2459999999999924,-10.596999999999996,-8.215384615384611,-10.557142857142852,5.482164095928742,6.034139368254867,2.3422732579566223,3840,17233,10055.206,453.488,6135.346,3742.647,0.10000000149011612,9.999999747378752e-05,-0.011154818,-0.012053709,8.4036255,0.12648036,0.0089048715,1.0228285,0.0,0.20000000298023224,9.999999747378752e-05,-0.0031039736,-0.0047852155,8.483867,0.27459136,0.008363788,1.5346758,0.0,0.10000000149011612,9.999999747378752e-05,-0.013494433,-0.014844687,6.811079,0.37680197,0.013434422,1.3876009,0.0,0.10000000149011612,9.999999747378752e-05,0.046904743,0.046878833,8.387424,-0.21690786,0.00017518779,1.0832431,0.0
-3.25,-48.00000000000014,-24.23849999999999,59.92,72,4312,False,21545,360,5,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-41-10,1581514870,14.755788087844849,97.78987169265747,61368,nvidia-gtc,10.142.0.61,97.78987169265747,21545,5,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-2.4,-2.1999999999999997,-2.6,-4.651999999999996,-10.911499999999998,-8.741176470588233,-10.924,5.403873081115814,5.957084569185989,2.2756126643031633,5248,21545,9941.9,374.905,5941.606,2997.892,0.10000000149011612,9.999999747378752e-05,-0.0051295212,-0.0056590126,5.592092,0.07545122,0.005238977,0.9245734,0.0,0.20000000298023224,9.999999747378752e-05,-0.004393719,-0.00643248,9.557261,0.2778039,0.010146013,1.4680364,0.0,0.10000000149011612,9.999999747378752e-05,-0.012406212,-0.01345009,6.7814217,0.46913612,0.010370994,1.336246,0.0,0.05000000074505806,9.999999747378752e-05,-0.0096341465,-0.010282895,9.978204,0.27256167,0.012775416,0.93351465,0.0
-3.25,-48.00000000000014,-25.839499999999997,60.0,72,4320,False,25865,432,6,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-41-26,1581514886,15.663241863250732,113.4531135559082,61368,nvidia-gtc,10.142.0.61,113.4531135559082,25865,6,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-2.4,-2.4,-3.0,-2.0199999999999982,-11.369000000000002,-10.441447368421052,-13.279411764705879,5.449460371087591,5.955191784213416,2.261120642421977,6400,25865,9952.033,320.045,5880.868,2501.148,0.10000000149011612,9.999999747378752e-05,-0.0050885407,-0.006173804,4.375956,0.06592192,0.010808901,0.83669364,0.0,0.20000000298023224,9.999999747378752e-05,-0.00826,-0.009766695,9.974442,0.27324307,0.007483598,1.4898465,0.0,0.10000000149011612,9.999999747378752e-05,-0.004781228,-0.0062623797,8.101581,0.42732516,0.014730427,1.408917,0.0,0.05000000074505806,9.999999747378752e-05,-0.010392709,-0.010944535,7.6754665,0.24911949,0.010882985,1.0545822,0.0
-3.25,-45.0,-24.101999999999997,60.0,72,4320,False,30185,504,7,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-41-41,1581514901,14.823484659194946,128.27659821510315,61368,nvidia-gtc,10.142.0.61,128.27659821510315,30185,7,7,01135c5e,0,-11.99999999999999,-15.0,-15.0,-15.0,0.0,-3.0,-2.75,-3.0000000000000004,-0.5939999999999995,-11.889000000000001,-11.435211267605634,-14.0,5.428250126260914,5.903211908489627,2.2317010113064684,7424,30185,9880.902,280.761,5795.969,2146.485,0.10000000149011612,9.999999747378752e-05,-0.004404369,-0.005129941,1.8643984,0.09989289,0.0072371173,0.8009826,0.0,0.20000000298023224,9.999999747378752e-05,-0.014085943,-0.016869884,10.588803,0.23528963,0.01386678,1.4800392,0.0,0.10000000149011612,9.999999747378752e-05,-0.011077259,-0.012369461,9.475238,0.3289152,0.012827267,1.3655227,0.0,0.05000000074505806,9.999999747378752e-05,-0.017352145,-0.018208109,10.007871,0.19378689,0.016919188,1.1541886,0.0
-3.0,-45.0,-22.4675,60.0,72,4320,False,34505,576,8,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-41-55,1581514915,13.90364384651184,142.180242061615,61368,nvidia-gtc,10.142.0.61,142.180242061615,34505,8,7,01135c5e,0,0.0,-15.0,-15.0,-15.0,0.0,-3.0,-2.75,-15.0,0.0,-11.62,-11.38076923076923,-15.0,5.3972910973236115,5.839487986495641,2.2021169159398886,8320,34505,9747.437,251.044,5697.488,1880.628,0.10000000149011612,9.999999747378752e-05,-0.006253228,-0.006838473,0.037275296,-1.0,0.005852126,0.657054,0.0,0.20000000298023224,9.999999747378752e-05,-0.005648666,-0.008532036,9.810428,0.31984589,0.014367791,1.4665872,0.0,0.10000000149011612,9.999999747378752e-05,-0.014273303,-0.015781673,9.3807125,0.34812894,0.0149898855,1.418045,0.0,0.05000000074505806,9.999999747378752e-05,-0.015203551,-0.016082872,8.757494,0.1686146,0.017411316,1.1406448,0.0
-3.0,-45.0,-23.6125,60.0,72,4320,False,38825,648,9,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-42-11,1581514931,15.522728681564331,157.70297074317932,61368,nvidia-gtc,10.142.0.61,157.70297074317932,38825,9,7,01135c5e,0,0.0,-15.0,-15.0,-15.0,0.0,-3.0,-2.75,-3.0,0.0,-12.405,-10.307971014492754,-12.409090909090908,5.388061218484098,5.8196600657806705,2.1862286069436703,9856,38825,9765.804,228.797,5677.696,1673.59,0.10000000149011612,9.999999747378752e-05,-0.0024584173,-0.0032165032,0.027885348,-1.0,0.007580589,0.6450534,0.0,0.20000000298023224,9.999999747378752e-05,-0.008110437,-0.00957644,9.424618,0.307663,0.0072828876,1.432069,0.0,0.10000000149011612,9.999999747378752e-05,-0.011492799,-0.012487472,7.8160667,0.46564162,0.009868543,1.3658482,0.0,0.05000000074505806,9.999999747378752e-05,-0.0024775842,-0.0028360859,8.140981,0.44025376,0.0070072412,1.1878626,0.0
-3.25,-45.0,-18.9625,60.0,72,4320,False,43145,720,10,3715409a0d2d4fefb65d5a4e8f7ce9a5,2020-02-12_13-42-24,1581514944,13.615326404571533,171.31829714775085,61368,nvidia-gtc,10.142.0.61,171.31829714775085,43145,10,7,01135c5e,0,0.0,-15.0,-15.0,-15.0,0.0,-2.75,-2.75,-3.25,0.0,-10.515,-10.528985507246377,-11.825,5.346301517193824,5.788572670364724,2.1620656326681966,12672,43145,9665.286,211.359,5586.089,1508.147,0.10000000149011612,9.999999747378752e-05,-0.0026483925,-0.0031056635,0.013798558,-1.0,0.004572659,0.6159769,0.0,0.20000000298023224,9.999999747378752e-05,-0.0075018606,-0.009420386,7.9317546,0.43530414,0.009552989,1.4391205,0.0,0.10000000149011612,9.999999747378752e-05,-0.012482344,-0.013968522,7.7830677,0.47495863,0.014783964,1.4149406,0.0,,,,,,,,,
